query,avgICTF,avgIDF,avgSCQ,clarity,deviation,drift,entropy,maxICTF,maxIDF,maxSCQ,minICTF,minIDF,minSCQ,perplexity,qfbdiv_a,scs,sumSCQ,varICTF,varIDF,varSCQ
EA1,9.967371223013034,4.904403922597968,50.1459877459546,2.203325707602089,0.44137563378867156,-5.416353940612013E-5,-0.002390054755570404,11.034700324689354,6.288996325532338,58.63766550480035,9.0247110798761,3.9013778719611976,44.21759404786007,3.4182875581045824E-5,1.0607955621635619,8.581076861893143,200.5839509838184,0.904346845285454,1.3287773609303677,51.03142245222845
EA2,9.816660065184148,4.5997845059941405,44.24436157247649,1.7167064376887544,0.17982564325806244,-2.0125751195295903E-5,-0.011218917786844402,12.49893655237397,6.929360806514365,56.918898533118686,7.08448377001219,2.0642021243510555,27.40035871625389,2.7212192685663262E-5,1.143228291152851,8.024900595956094,265.46616943485895,5.482604780549439,4.746663752298976,151.0401082159326
EA3,8.599837989575075,3.712396152845856,40.90461895922789,1.7580081067111908,0.1418326377393454,-1.8087462263060785E-5,-0.0357683061752429,12.633517813861328,7.836694344784503,60.53872745683893,6.4405172358815665,1.507365218712024,20.97956069629272,6.895410078131848E-5,0.9240198109891418,6.2019427167767045,449.9508085515069,3.167276470192773,2.968684165780954,123.2798862880924
EA4,8.608820130041117,3.7296722889525,42.905795302345744,1.9851713720055677,0.141659693643244,-1.8263133199938375E-5,-0.020233417806966712,9.967140309159687,5.12461828804888,53.252015601877225,6.659262321492868,2.398615035861307,32.859320898707814,3.9655290701773924E-5,1.0534645538705965,6.529378588361282,343.246362418766,1.3926108353869913,0.8486448582836982,44.787791654701735
EA5,9.138522537583405,4.158959139311765,46.01615282760412,1.8217113504428324,0.23650361905264933,-3.820211667115404E-5,-0.0023725114664482454,9.857334120703689,5.059736201491753,53.13338951127405,8.419710954463124,3.2581820771317767,38.89891614393419,7.086056241582064E-5,0.902042557587566,8.445375357023462,92.03230565520823,1.033380184055773,1.6227986314992209,101.31011602275397
EA6,8.676293942615045,3.683597524855857,40.77168978871908,1.7526914565933502,0.1380106296341153,-1.8329007314310907E-5,-0.016632820866752475,10.953407768420556,5.563518383704501,53.13338951127405,6.383832304736479,1.7197903721726828,24.033587450208657,5.8516660867761055E-5,0.9701728670065887,7.066856030180945,203.85844894359536,3.181949582451943,2.55419580024337,149.52976064593156
T1,8.98292704438845,3.8445338150576704,38.95481582544378,1.3076381265111416,0.3417329299159858,-4.314615753041585E-5,-0.01286842947165449,12.650467372175102,7.307565906526912,56.327332455807415,6.923695194294034,1.984775600991027,26.665174911111432,5.0825698468078225E-5,0.8891378276602951,7.59663268326856,155.81926330177512,6.852545033043451,5.93524227792555,180.9351252567681
T10,8.986168464226498,3.7600833198232744,41.92846840734787,1.6227384186549283,0.19959734175230162,-2.51763063899247E-5,-0.007291309328457571,9.994374739337122,5.195818832850185,53.85038457157076,7.766232724995194,2.5233001245424354,31.774199422293552,3.9221024506515465E-5,1.084905482721877,7.376730551792399,209.64234203673934,0.8425199286857249,1.3392786447742069,96.31432004587053
T11,8.640642217555964,3.9703201416342955,34.39845928894789,1.8392928656064569,0.44219931725481865,-3.981801527183581E-5,-0.025371469107800925,13.497765232562305,8.961114517408484,61.4802910279361,5.983644184224019,1.4424806887823773,20.73552614261486,3.550049037115029E-5,1.049488807690208,5.440760892327055,103.19537786684367,17.74591623351094,18.682073876500503,550.0840959699989
T12,8.472024126216413,3.5650829420266543,40.45931258433393,2.1855757197787145,0.12226137832518344,-1.315912446556031E-5,-0.022965828467520717,10.217561162186781,5.285062076854303,53.5957632237287,5.983644184224019,1.4424806887823773,20.73552614261486,3.960761427534233E-5,1.0118670583339924,5.5938119804238,242.75587550600355,2.5199994876505665,2.1456947753877764,149.25069645261664
T13,8.872642300736748,4.274120390494283,34.192343488563125,1.8433137564263113,0.32392485320808667,-2.8508376772825892E-5,-0.025362646345505842,14.193765482104657,9.872515263988449,60.861943626781795,5.983644184224019,1.4424806887823773,20.73552614261486,3.457695978688287E-5,1.0401132322416013,5.614760954712644,102.57703046568938,21.28794717980093,23.507571370230362,533.4655668652022
T14,10.189559046777076,5.347338005736969,48.0437906788957,2.2697221856193273,0.6476258345023822,-7.10053702518833E-5,-0.011150240422952979,13.387289616237709,8.307972671462238,58.51987389795356,6.695126750918191,2.0901757850817875,28.558959459909143,2.9749022361360375E-5,1.49960743906166,8.580121134342976,240.2189533944785,8.55353888974682,7.327699149053238,156.23461725125821
T15,10.281206680437752,5.261406758146567,48.75027835353658,1.5972779446709187,0.2638627189046263,-2.9337560580720106E-5,-0.018905114231629373,12.333902425574534,7.572372174649955,61.088748345944865,5.867536343638574,1.7270151495872443,25.02620263199454,3.9257630118094726E-5,1.107768307645345,8.335296531382436,341.2519484747561,5.767512851611319,4.437792455234253,149.62710484701307
T2,9.839327294664304,4.925896970723552,41.76422748873033,1.5646960680744377,0.34164524910532107,-3.83524186247584E-5,-0.028194433853155194,13.251528568285917,8.248549250991438,60.47296257497592,5.795250298141184,0.9059287747766308,13.193313574667647,4.46736436085123E-5,1.043135877862971,8.229889382230205,208.82113744365165,12.557284640230696,12.580639374286847,518.1607880889591
T3,10.672005219327794,5.65553545009338,41.42151143366127,2.071683412264772,0.25232837855891865,-2.652704721437587E-5,-0.011491005769862207,16.65050125492596,11.28350223769871,58.238481824839255,6.4405172358815665,1.507365218712024,20.97956069629272,4.064515413551736E-5,1.0734070871080763,9.285710858207905,165.6860457346451,18.58089416125579,17.189966765005376,237.04724035368517
T4,8.318569342382887,3.278101533156482,37.9914612441244,1.7360326051065347,0.1502482261088513,-2.0412421962004905E-5,-0.02365642775489367,10.365124085615562,5.249936514572092,52.46485925765332,6.695126750918191,2.0642021243510555,27.25217032507941,3.4076337926239986E-5,1.0900911533655298,6.372659193327573,265.94022870887085,1.9017164900158157,1.6135127851051674,109.07556912759128
T5,9.567659968944554,4.66672712253412,44.257083010649346,1.8821632592500896,0.14999252275534145,-1.6981551094134637E-5,-0.02213795507704902,13.809475371132951,9.097450960960616,59.57989852193421,6.4405172358815665,1.507365218712024,20.97956069629272,3.1225230802106756E-5,1.058096814094307,7.62174981988924,309.7995810745454,7.070569390366486,7.199976280852037,241.66024069487537
T6,8.712679945611525,3.7172241358103335,34.67195006377815,1.5954450180912478,0.3524453759106028,-4.4796364246595514E-5,-0.02666498133543764,13.59964968215089,8.480141856792175,57.316445838603606,5.983644184224019,1.4424806887823773,20.73552614261486,4.831073579951086E-5,1.1680194353945978,7.326385584491634,138.6878002551126,12.16862699202474,10.940259612660014,306.4406827586312
T7,8.899515829472508,3.679372246880099,39.11855171415992,1.731426923599489,0.08115708259032807,-9.750444719296883E-6,-0.02808740824005167,12.386882851302381,7.179207344623442,57.23026179595149,6.4405172358815665,1.507365218712024,20.97956069629272,2.794753141521215E-5,1.1309280581807517,6.702291252136287,352.06696542743924,3.802084710839129,3.138638965754384,131.0127346051744
T8,9.231851687500296,3.9139968231654976,41.971288083646094,1.8345706713944367,0.10795200573995782,-1.2738169233566756E-5,-0.008647010043947462,11.797950293259614,6.510278466714369,55.73189741210212,7.49014275692335,2.485304217084017,31.981910407045863,2.889372105618953E-5,1.2746053398921646,7.440092218272239,251.82772850187655,1.972903932114638,1.8563224602907966,61.42928750163952
T9,8.885473539618983,3.753752824629781,39.40740242581969,1.7197796759943274,0.30995419909807737,-3.8903242544899905E-5,-0.01607063013341634,11.870257940868743,6.857458717608054,58.208122363145925,6.4405172358815665,1.507365218712024,20.97956069629272,4.440398762809544E-5,1.159467298817937,7.276035627184883,197.03701212909846,4.412367293549602,4.853857630137257,252.8771272334132
